a-vorto; adjective
amikaro; circle of friends
amikeca; amicable
amikece; amicably
amikeco; friendship, affection
amikema; friendly
amikemo; friendliness
amikino; friend <g>pers</g>
amikiĝema; social
amikiĝi; to make friends, become
amikiĝo; friendship
amiko; mate, friend <g>pers</g>, buddy, pal, chum
aminda; loveable, lovable
amindeco; sweetness
amindumado; courtship
amindumi; court, woo, romance
amino; lover <g>pers</g>, courtisane, geisha <g>pers</g>
amintrigo; affair
amkanto; love song
amnestii; pardon, amnesty
amnestio; amnesty
amnezio; amnesia
amo; geisha <g>pers</g>, courtisane, love, lover <g>pers</g>
amomanto; n-th moment
amoniako; anhydrous ammonia, ammonia
amonito; ammonite
amono; Amon, Amun, Ammon
amora; sexual
amorado; lovemaking
amoranto; lover
amorfa; amorphous
amori; make love
amorino; lover <g>pers</g>
amoristino; prostitute <g>pers</g>, whore <g>pers</g>, hooker <g>pers</g>, courtesan
amoristo; whore, prostitute, gigolo, hooker
amorludo; lovemaking play
amoro; Cupid, Eros, sex, lover <g>pers</g>
amortizi; deaden, amortise
amortizilo; shock absorber
amorveka; sexy
amovendistino; escort <g>pers</g>, prostitute <g>pers</g>, whore <g>pers</g>, hooker <g>pers</g>
ampelopso; ampelopsis creeper
ampermetro; ammeter, ampmeter
ampero; André-Marie Ampère, ampere
ampleksa; extensive, bulky, ample, comprehensive
amplekse; comprehensively, extensively
ampleksi; encompass, include, comprise, extend to, embrace
ampleksigi; expand
ampleksigo; expansion
ampleksiĝi; expand
amplekso; scope, breadth, dimension, size, bulk, extent
amplifi; amplify
amplifikatoro; amplifier
amplifilo; amplifier
amplitudo; amplitude
ampolo; bulb, tube, light bulb
amputado; amputation
amputi; amputate
amsento; love
amsterdamo; Amsterdam
amudarjo; Oxus, Amu Darya, Amudaryra
amuleto; amulet, talisman, mojo, charm
amuza; entertaining, funny, amusing, fun
amuzado; pleasure, fun, amusement
amuzaĵo; entertainment, fun
amuzi; entertain, amuse
amuzilo; toy, plaything
amuzisto; entertainer <g>pers</g>, comedian
amuziĝi; enjoy oneself, have a good time, amuse
amuziĝo; entertainment, amusement
amuzo; amusement, fun
amuzparko; fun fair
anagalo; pimpernel
anagramo; anagram
anakronisma; anachronistic
anakronismo; anachronism
analfabeta; illiterate
analfabeteco; illiteracy
analfabeto; illiterate <g>pers</g>
analitika; analytical
analitikageometrio; analytic geometry, analytical geometry
analitiko; analysis <f>{pl analyses}</f>, analytic, analytical
analiza; analytical
analizado; analysis, analyzing
analizeraro; parse error
analizi; analyze, analyse, parse
analizilo; analyser
analizisto; analyst <g>pers</g>, analytical chemist
analizo; analysis <f>{pl analyses}</f>
analo; annal
analoga; analogue, analog, analogous
analogaĵo; analog
analoge; by analogy
analogeco; analogy, analogousness
analogia; analogical, analogous
analogio; analogy
ananaso; pineapple
ananasujo; pineapple
anapesto; antidactylus, anapest, anaepest
anarkia; anarchic, anarchist, anarchical
anarkie; anarchical, anarchic
anarkiisma; anarchist
anarkiismo; anarchism
anarkiista; anarchist
anarkiisto; anarchist <g>pers</g>
anarkio; anarchy
anarkismo; anarchism
anarkisto; anarchist <g>pers</g>
anarkiulo; anarchist <g>pers</g>
anaro; membership, adherents <g>pers</g>, party, following, supporters <g>pers</g>, disciples <g>pers</g>, bunch
anarĥia; anarchical, anarchic, anarchist, chaotic
anarĥiismo; anarchism
anarĥiisto; anarchist <g>pers</g>
anarĥio; anarchy
anarĥiulo; anarchist <g>pers</g>
anasido; duckling
anasino; duck
anaso; duck
anastigmata; anastigmatic
anatemi; anathematize, anathemetise, curse
anatemo; ban, anathema <g>pers</g>
anatolio; Anatolia, Asia Minor
anatomia; anatomical
anatomiisto; anatomist
anatomio; anatomy
andante; andante
andanto; andante
andora; Andorrean
andorano; Andorrean
andoro; Andorra
androgina; androgynous
andromedo; Andromeda
aneco; affiliation, membership
anekdoto; anecdote
aneksa; accessory
aneksaĵo; annexe, annex, attachment
aneksi; annex
anekso; annexation
anemia; anaemic, anemic
anemio; anemia, anaemia
anemometro; anemometer
anemono; anemone
anestezi; anesthetize, anaesthetise
anestezilo; anaesthetic, anesthetic
anestezisto; anaesthetist <g>pers</g>
anestezo; anesthesia, anaesthesia
aneto; dill
anfrakto; cavity
angaro; Angara
angeliko; angelica
angia; vascular
angilaĵo; eel
angilo; eel
angilvendisto; eelmonger
angino; quinsy, angina
angio; blood vessel, vessel
angla; English
anglalingva; English speaking
anglaĵo; anglicism
angle; in English
angleca; English
anglikana; Anglican
anglikanismo; Anglicanism
anglino; English, Englishwoman <g>pers</g>
anglio; England
anglismo; anglicism
anglo; Englishwoman, English, Englishman <g>pers</g>
anglosaksa; Anglo-Saxon
anglosakso; Anglo-Saxon <g>pers</g>
anglujo; England
angola; Angolan
angolano; Angolese <g>pers</g>
angolo; Angola
angora; agonized, anguished, harrowing, oppressing, distressed
angore; aching
angori; agonize, distress, feel distressed
angoro; distress, fear, anguish, agony, angst
angula; gaunt
anguladistanco; angular separation, angular distance
angulakoeficiento; angular coefficient, slope
angulfidela; conformal
angulmezurilo; protractor
angulo; angle, corner
angulŝtono; cornerstone
anheli; pant, hyperventilate
anhidra; anhydrous, waterless
anigi; affiliate
anihilacii; annihilate
anihilacio; annihilation
anilino; aniline
anima; spiritual, of the soul
animacio; animation
animala; animal
animalo; animal
animeo; anime
animi; encourage, vitalize, enliven, animate
animigi; animate
animismo; animism
animo; soul
animstato; mood, state of mind, morale
anizo; anise
anizujo; anise
aniĝi; join, accede, affiliate
ankaŭ; as well as, as well, likewise, moreover, also, too
ankilozo; anchylosis, ankylosis
ankoraŭ; as, yet, still
ankoraŭfoje; once again, once more
ankrejo; mooring, moorage, anchorage
ankri; anchor
ankriĝi; anchor
ankro; anchor
ankropunkto; anchor point
ankrumi; anchor
anksio; anxiety
ano; supporter <g>pers</g>, member <g>pers</g>
anobio; borer, woodworm
anodo; anode
anomalia; anomalous
anomalio; freak, abnormity, anomaly
anoncado; advertising, notification, notice, announcement
anonci; advertise, give notice, announce
anoncisto; announcer <g>pers</g>, presenter
anonco; announcement, advertisement, ad
anonctabulo; bulletin board
anonima; anonymous
anonimeco; anonymity
anonimulo; anonymous writer
anono; cherimoya
anorako; parka, anorak
anormala; abnormal
ansero; goose <f>{pl geese}</f>
anso; handle, knob
anstataŭ; in place of, instead of <g>{N A}</g>, in lieu of
anstataŭa; substitute, ersatz, replacement
anstataŭanto; substitute
anstataŭaĵo; substitute, surrogate, replacement
anstataŭe; instead
anstataŭi; take the place of, substitute for, replace, supersede, supercede
anstataŭigi; overwrite, make a substitution, substitute, put in place of, replace
anstataŭigita; overwritten
anstataŭigo; substitution, refill
anstataŭilo; substitution, surrogate, replacement
anstataŭiĝi; succeed
anstataŭo; relief, substitution, replacement
anstataŭulo; replacement
antagonisma; antagonistic
antagonismo; friction, opposition, antagonism
antagonisto; adversary <g>pers</g>, opponent <g>pers</g>, antagonist <g>pers</g>
antarkta; antarctic, Antarctic Ocean, Southern Ocean, antartic
antarktido; Antarctica
antarkto; Antarctica, Antartic, the Antarctic, Antarctic
antaŭ; in front, prior to, in front of, before <g>{N A}</g>
antaŭa; last, previous, prior, former, forward
antaŭanto; predecessor <g>pers</g>
antaŭaranĝi; plan, prearrange
antaŭaĵo; front, antecedent <g>pers</g>
antaŭbrako; lower-arm, forearm
antaŭdati; antedate
antaŭdecidi; predetermine
antaŭdestini; foredestine
antaŭdestinismo; predestination
antaŭdestino; predestination
antaŭdiluva; antediluvian
antaŭdiri; predict, forecast, prophesy, foretell
antaŭdiristino; fortune teller <g>pers</g>
antaŭdiristo; fortune teller <g>pers</g>
antaŭdiro; prediction
antaŭe; before, ago, earlier, formerly, previously, ahead
antaŭeco; priority
antaŭelekti; preselect
antaŭen; forth, along, ahead, on, forward
antaŭenema; progressive
antaŭenigi; promote, foment, further
antaŭenigo; advance, promotion
antaŭeniri; advance, go forward
antaŭeniro; advance
antaŭeniĝi; advance
antaŭenpuŝi; push, promote
antaŭenpuŝo; promotion
antaŭflari; smell
antaŭgarda; precautionary
antaŭgarde; as a precaution
antaŭgardi; save, protect, guard, preserve
antaŭgardo; protection
antaŭgusto; foretaste
antaŭhieraŭ; the day before yesterday
antaŭhistoria; prehistoric
antaŭhistorio; prehistory
antaŭi; precede, front, advance
antaŭiranto; leader
antaŭiri; precede
antaŭiĝi; stand out, lead
antaŭiĝo; lead
antaŭjuĝo; bias, prejudice
antaŭkalkuli; compute
antaŭkalkulo; estimate
antaŭkondiĉo; prerequisite, precondition
antaŭlasta; penultimate, the one before last
antaŭlegi; pronounce
antaŭlerneja; preschool
antaŭlonge; long ago
antaŭludo; prelude, foreplay
antaŭmalhelpi; prevent
antaŭmendi; reserve
antaŭmendo; booking
antaŭmeti; serve
antaŭnelonge; recently, a short while ago
antaŭnomo; first name
antaŭo; fore, front
antaŭpagi; prepay
antaŭpago; deposit
antaŭparolo; preamble, preface, introduction, foreword
antaŭposteno; outpost
antaŭrigardo; preview
antaŭrimedo; precaution, preventative medicine
antaŭsavi; preserve
antaŭscii; foresee, know beforehand, know in advance
antaŭsciigi; forewarn, notify
antaŭsciigo; notification
antaŭscio; foreknowledge
antaŭsigno; harbinger, signal, omen, indication, precursor, sign, presage, foreshadower
antaŭsupozi; presuppose
antaŭsupozo; assumption, presupposition
antaŭtagmeze; a.m.
antaŭtagmezo; morning
antaŭtago; eve
antaŭtempa; untimely, premature
antaŭtempe; early
antaŭtimi; be apprehensive
antaŭtuko; apron
antaŭula; ancestral
antaŭulo; forerunner, predecessor <g>pers</g>
antaŭurba; suburban
antaŭurbo; suburb
antaŭvelo; foresail
antaŭveni; precede
antaŭvespero; dusk
antaŭvida; preview
antaŭvidebla; foreseeable, predictable, likely, unsurprising
antaŭvideble; unsurprisingly, predictably
antaŭvidi; foresee, envision, envisage, predict
antaŭvido; preview, expectation
antaŭzorga; careful, thoughtful
antaŭzorge; carefully
antaŭzorgi; take care  beforehand, take precautions, take care beforehand
antaŭzorgo; precaution, provision, thoughtfulness
antaŭĉambro; hall, front room, antechamber
antaŭĉio; above all
antaŭĝoji; eagerly anticipate, look forward
antemo; corn chamomile
anteno; antenna
antibiotiko; antibiotic
anticipe; beforehand, ahead
anticipi; expect, think ahead, anticipate
anticipo; expectation, anticipation
antidoto; antidote
antifono; antiphony
antifrazo; antiphrase
antikorpo; antibody
antikrezo; antichresis, assignment of rents, pledging of the income from real property, assignment of profits, Welsh mortgage
antikristo; antichrist <g>pers</g>
antikva; ancient, antique
antikvaĵisto; antique dealer
antikvaĵo; antique <g>pers</g>, relic, antiquity
antikveco; antiquity
antilopo; antilope, antelope
antimono; antimony
antinomio; conflict
antipartiklo; antiparticle
antipatia; antipathetic, nasty, unpleasant
antipatii; antipathize
antipatio; antipathy, dislike, aversion, hostility
antipirino; antipyrine
antipoda; antipodal
antipodo; antipode, extreme, antithesis
antiprotono; antiproton
antirino; snapdragon
antisemita; anti-Semitic
antisemitismo; antisemitism, anti-Semitism
antisemito; anti-Semite <g>pers</g>, antisemite
antisepsa; antiseptic
antisepsi; disinfect
antisepso; antisepsis
antisimetria; antisymmetric
antitezo; antithesis
antologio; anthology, reader
antonimo; antonym
antono; Anthony
antracito; anthracite
antrakso; anthrax
antropoida; anthropoidal
antropologia; anthropological
antropologiisto; anthropologist <g>pers</g>
antropologio; anthropology
antropologo; anthropologist <g>pers</g>
antropometrio; anthropometry
antropomorfismo; anthropomorphism
antverpeno; Antwerp
anuitato; annuity, annual instalment, instalment, repayment
anunciacio; annunciation
anuso; anus
anĉo; reed
anĉovo; anchovy
anĝela; angelic
anĝelo; angel
anĝeluso; angelus, the angelus
aorto; aorta
apanaĝo; fee tail estate, inheritance
aparataro; gear, hardware, equipment
aparato; device, set, apparatus, machine, appliance, gadget, gizmo
aparta; distinctive, separate, apart, special, particular, characteristic
apartamentaro; complex
apartamento; apartment, flat
apartaĵo; peculiarity, distinguishing feature, characteristic
aparte; separately, apart, especially
apartenaĵo; property, belonging, possession
aparteneco; belonging
aparteni; belong <g>iobjto</g>
apartigi; divide, separate, segregate
apartigilo; separator
apartigo; segregation, partition, separation
apartismo; separatism
apartiĝi; divide
apartiĝo; separation
apatia; apathetic, indifferent
apatio; apathy
apatito; apatite
apaĉo; hood <g>pers</g>, ruffian <g>pers</g>, apache <g>pers</g>, gangster
apelacii; appeal
apelacio; appeal
apenaŭ; no sooner, barely, only just, hardly, scarcely
apenaŭa; bare, meagre, slim
apendicito; appendicitis
apendico; appendix <f>{pl appendices}</f>
aperaĵo; occurrence, phenomenon <f>{pl phenomena}</f>, apparition
aperi; turn <g> up</g>, show <g> up</g>, emerge, perform, appear
aperigi; make to appear, publish
aperigo; production
aperinta; published
aperitivo; nip, snifter, peg, snorter <g>pers</g>, dram, apéritif
apero; appearance, emergence, apparition
aperonta; forthcoming
aperta; open
apertaĵo; aperture, opening
apertigi; open up
aperturo; opening, aperture
apetita; appetising, appetizing
apetitiga; appetizing, appetising
apetito; appetite
apetitveka; appetizing
apika; steep, tilted, sheer
apio; wild celery
aplanata; aplanatic
aplaŭdado; ovation, acclamation
aplaŭdi; acclaim, clap, applaud
aplaŭdo; acclamation, acclaim, approval, applause, clap
aplikado; use, application, employment
aplikaprogramaro; application software
aplikata; applied
aplikaĵeto; applet
aplikaĵo; application
aplikebla; applicable
aplikebleco; applicability
apliki; apply, practice
apliko; use, application, employment
aplomba; calm
aplombo; assurance, self-assurance, aplomb
apofizo; apophysis, process
apogarko; flying buttress
apogeo; apogee, apex, peak
apogi; endorse, lean, sustain, uphold <f>{past upheld} {perf upheld}</f>, support, prop
apogilo; backrest, rest, pillar, buttress, support, prop
apogo; stand, support
apogpilastro; abutment, buttress
apogpunkto; fulcrum
apogseĝo; arm-chair, armchair
apokalipsa; apocalyptic
apokalipso; Book of Revelation, Apocalypse
apokopo; apocope
apokrifa; apocryphal
apokrifo; apocrypha
apologia; apologetic
apologiisto; apologist
apologio; apologia, defence, apology
apologo; apologue
apopleksio; stroke of apoplexy, seizure, stroke, apoplexy
apostato; apostate <g>pers</g>
aposteriora; a posteriori
apostola; apostolic
apostoleco; apostolate, apostleship
apostolo; apostle <g>pers</g>, disciple <g>pers</g>
apostrofo; apostrophe
apotekisto; pharmacist <g>pers</g>, chemist <g>pers</g>
apoteko; chemists shop (brite), chemist's shop (brite), chemist's shop, pharmacy
apotenco; n-th power
apoteozi; apothrosize, deify, apotheosise
apoteozo; apotheosis <g>pers</g>
apozicii; appose, juxtapose
apozicio; aposition, apposition
apoĝaturo; appoggiatura, long grace note
apreci; appreciate
apreturi; finish
apreturo; starch, appreture, finishing
aprezi; rate, appreciate
aprezo; appreciation
aprilo; April <g>abst</g>
apriora; a priori
apro; wild boar, Eurasian wild boar
aprobi; approve, endorse
aprobo; indorsement, endorsement, acclaim, approval
aproksima; approximate
aproksimi; approximate
apsido; apsis, apse
apud; next to, at, by, near, nearby, beside, near to <g>{N A}</g>, alongside
apuda; nearby, adjacent, adjoining
apudaĵo; vicinity, neighbourhood
apude; nearby, near, near here
